auroc,aupr,f1,precision,recall,false_safe_rate,false_alarm_rate,threshold,intervention_rate
0.9234397657938658,0.9934493979518704,0.9470588235294118,0.9357675111773472,0.9586259541984733,0.04137404580152672,0.7724014336917563,0.1,0.9440067529544176
0.9234397657938658,0.9934493979518704,0.9413286660071531,0.9384008496434532,0.9442748091603054,0.055725190839694655,0.7275985663082437,0.15,0.9272650534608892
0.9234397657938658,0.9934493979518704,0.9397885705530872,0.9431119311193112,0.9364885496183206,0.0635114503816794,0.6630824372759857,0.2,0.9150253235790659
0.9234397657938658,0.9934493979518704,0.9402216325893554,0.9616858237547893,0.9196946564885496,0.08030534351145038,0.43010752688172044,0.25,0.8812605514912775
0.9234397657938658,0.9934493979518704,0.9338112305854241,0.9761865112406328,0.8949618320610687,0.1050381679389313,0.25627240143369173,0.3,0.8448227349465391
0.9234397657938658,0.9934493979518704,0.9291693496458467,0.982635342185904,0.8812213740458015,0.11877862595419847,0.1827956989247312,0.35,0.8263927968486213
0.9234397657938658,0.9934493979518704,0.9243370367366799,0.9858156028368794,0.8700763358778626,0.1299236641221374,0.14695340501792115,0.4,0.8133089476646033
0.9234397657938658,0.9934493979518704,0.9225743221169553,0.991921320688444,0.8622900763358778,0.13770992366412213,0.08243727598566308,0.45,0.80106921778278
0.9234397657938658,0.9934493979518704,0.9191678315927967,0.9960791302798075,0.8532824427480916,0.1467175572519084,0.03942652329749104,0.5,0.7893922341024198
0.9234397657938658,0.9934493979518704,0.9160948995618747,0.9989183342347214,0.8459541984732825,0.15404580152671757,0.010752688172043012,0.55,0.7803882948790095
0.9234397657938658,0.9934493979518704,0.9101646980535685,0.9998172514619883,0.8352671755725191,0.1647328244274809,0.0017921146953405018,0.6,0.7698368036015757
0.9234397657938658,0.9934493979518704,0.9021283727166082,0.99981426448737,0.8218320610687023,0.1781679389312977,0.0017921146953405018,0.65,0.7574563871693866
0.9234397657938658,0.9934493979518704,0.88843641299737,0.9998090509833875,0.7993893129770993,0.20061068702290077,0.0017921146953405018,0.7,0.7367754642656162
0.9234397657938658,0.9934493979518704,0.8521114420886631,0.9997944078947368,0.742442748091603,0.25755725190839696,0.0017921146953405018,0.75,0.6842993809791784
0.9234397657938658,0.9934493979518704,0.7648944193061841,0.9997535731887629,0.6193893129770992,0.38061068702290074,0.0017921146953405018,0.8,0.5709060213843556
0.9234397657938658,0.9934493979518704,0.6445272087730188,0.9996790757381258,0.47557251908396947,0.5244274809160305,0.0017921146953405018,0.85,0.43837929093978617
0.9234397657938658,0.9934493979518704,0.511474664848898,0.9995559502664298,0.3436641221374046,0.6563358778625954,0.0017921146953405018,0.9,0.3168261114237479
