feature,coefficient,abs_coefficient
distance_to_goal,4.744977752753077,4.744977752753077
action_norm,-1.0285319668238353,1.0285319668238353
progress_5,0.4932957839459173,0.4932957839459173
normalized_time,0.3876431543675878,0.3876431543675878
force_proxy,0.16548460898576067,0.16548460898576067
remaining_budget,0.049664563718465435,0.049664563718465435
distance_to_forbidden,-0.04843299986142318,0.04843299986142318
