method,preset,policy,seeds,episodes_per_seed,success_rate_mean,success_rate_std,budget_exhaustion_rate_mean,budget_exhaustion_rate_std,mean_final_distance_mean,mean_final_distance_std,intervention_rate_mean,intervention_rate_std,false_intervention_rate_mean,false_intervention_rate_std,mean_stage1_boundary_activations_mean,mean_stage1_boundary_activations_std,mean_stage2_residual_activations_mean,mean_stage2_residual_activations_std,tangent_correction_rate_mean,tangent_correction_rate_std
unshielded,prototype,ppo,3,100,0.08333333333333333,0.02081665999466133,0.9066666666666667,0.020816659994661344,0.7225182540218036,0.020641573010879377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
always_tangent,prototype,ppo,3,100,0.10666666666666667,0.023094010767585025,0.0,0.0,0.7406205645079414,0.014424964491207011,1.0,0.0,0.5771404749248571,0.016017899470041574,0.0,0.0,0.0,0.0,0.42285952507514296,0.016017899470041567
risk_gated_tangent,prototype,ppo,3,100,0.10666666666666667,0.023094010767585025,0.0,0.0,0.7406205645079414,0.014424964491207011,0.4497847196504776,0.016427704744468138,0.0269251945753346,0.0006633972280078985,0.0,0.0,0.0,0.0,0.42285952507514296,0.016017899470041567
mechanism_routed_tangent,prototype,ppo,3,100,0.10666666666666667,0.023094010767585025,0.0,0.0,0.7406205645079414,0.014424964491207011,0.44267314829734383,0.017281652831082225,0.0198136232222009,0.0016928517464404093,68.19,2.5474889597405506,2.0566666666666666,0.1942506971244463,0.42285952507514296,0.016017899470041567
unshielded,strict,ppo,3,100,0.013333333333333334,0.005773502691896258,0.9766666666666666,0.011547005383792525,0.7156231282030543,0.01362042438507279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
always_tangent,strict,ppo,3,100,0.016666666666666666,0.005773502691896258,0.0,0.0,0.6407718962679306,0.020363695244442044,1.0,0.0,0.604173611111111,0.006568163341142317,0.0,0.0,0.0,0.0,0.3958263888888889,0.006568163341142338
risk_gated_tangent,strict,ppo,3,100,0.016666666666666666,0.005773502691896258,0.0,0.0,0.6407718962679306,0.020363695244442044,0.4257536717752235,0.007355296506916878,0.029927282886334564,0.0010924361083909941,0.0,0.0,0.0,0.0,0.3958263888888889,0.006568163341142338
mechanism_routed_tangent,strict,ppo,3,100,0.016666666666666666,0.005773502691896258,0.0,0.0,0.6407718962679306,0.020363695244442044,0.41638657407407403,0.005522350129396533,0.020560185185185133,0.0014082219256103005,48.416666666666664,0.6310573138260386,1.5066666666666666,0.10115993936995687,0.3958263888888889,0.006568163341142338
