method,preset,seeds,timesteps_per_stage,episodes_per_seed,success_rate_mean,success_rate_std,budget_exhaustion_rate_mean,budget_exhaustion_rate_std,mean_return_mean,mean_return_std,mean_cumulative_cost_mean,mean_cumulative_cost_std,mean_final_distance_mean,mean_final_distance_std,mean_embedding_risk_mean,mean_embedding_risk_std,max_embedding_risk_mean,max_embedding_risk_std,mean_active_embedding_risk_mean,mean_active_embedding_risk_std
baseline_ppo,prototype,3,8192,50,0.04666666666666667,0.050332229568471665,0.9533333333333333,0.05033222956847165,-40.983030151808045,8.906561400226146,1.9355732693036398,0.0937926767836216,0.686876334324479,0.05443781016023252,0.32531264954566114,0.025749209226385676,0.5759121270500147,0.016881621818639666,0.045189578742712795,0.010063713969026717
baseline_ppo,strict,3,8192,50,0.0,0.0,1.0,0.0,-57.6506916146545,16.347591992453992,1.0200513731479646,0.031377395376371554,0.8448851456244787,0.32650423126281053,0.3961977328494804,0.030461249418712394,0.5569519193029012,0.004135215412201256,0.02160263332068803,0.007352364790245171
embedding_risk_reward_ppo,prototype,3,8192,50,0.006666666666666667,0.011547005383792516,0.9933333333333333,0.011547005383792525,-45.03739144069103,6.773018661509671,2.0062159912586215,0.0028561725428496924,0.7209596859167019,0.02899560360479892,0.3237435010418584,0.008584004412434097,0.5998596045146484,0.024457330050231738,0.041097095440312766,0.00873897984266699
embedding_risk_reward_ppo,strict,3,8192,50,0.02666666666666667,0.046188021535170064,0.9733333333333333,0.046188021535170036,-73.1782594789188,15.782301772573941,0.99999360871315,0.008624513900185605,0.9836456600328286,0.4014353162300286,0.4014375058452511,0.03736723323953818,0.5589909048521594,0.012829753745296298,0.023604982305558835,0.024520016098165516
embedding_curriculum_finetune_ppo,prototype,3,8192,50,0.04,0.02,0.96,0.020000000000000018,-28.632022119996282,2.057606550246116,1.964082391703129,0.05276605718320424,0.7042843431482712,0.06565456439920044,0.4262069337516932,0.008390644604244341,0.5779548415728029,0.0016091969370804883,0.06520073456441677,0.004191798388469781
embedding_curriculum_finetune_ppo,strict,3,8192,50,0.0,0.0,1.0,0.0,-32.20216968197103,3.040277561646096,1.0931713016351063,0.01644420916176079,0.6972809626658757,0.024138459664801413,0.45940942143488894,0.015235435513806333,0.5754761191870883,0.0025761129723746398,0.0322136849269429,0.015474250130059024
