task,failure,controller,trigger_mode,seed,episode,success,steps,return,initial_distance,final_distance,min_distance,distance_reduction,risk_event_rate,monitor_triggers,recovery_replans,recovery_phase_replans,recovery_override_rate,source_csv,recovery_policy,experiment_suite,experiment_notes,visual_reestimate_triggers,unsafe_warning_events,unsafe_abort,min_danger_distance,source,route_label,fault_family,split,pred_route,confidence,prob_auto_execute,prob_auto_recovery,prob_human_review,prob_abort_candidate
NeedlePick,action_noise,perturbed,coarse,43002,0,0.0,200,-200.0,0.276283544707664,0.264427617234559,0.2643757093758269,0.011855927473105,0.985,0,0.0,0.0,0.0,runs/surrol_needlepick_phase_replan_w32_5seed.csv,internal_phase_replan,standard_corruptions,"NeedlePick standard action corruptions, internal phase-aware recovery",0.0,0.0,0.0,1.0,master_episode_rows,auto_recovery,reversible_execution_drift,train_even_seed,human_review,0.7030669825803614,0.004940385662814282,0.28915005362997087,0.7030669825803614,0.002842578126853432
NeedlePick,action_noise,perturbed,coarse,43004,0,0.0,200,-200.0,0.2330517517043435,0.2543641285605397,0.2326488763243845,-0.0213123768561962,0.995,0,0.0,0.0,0.0,runs/surrol_needlepick_phase_replan_w32_5seed.csv,internal_phase_replan,standard_corruptions,"NeedlePick standard action corruptions, internal phase-aware recovery",0.0,0.0,0.0,1.0,master_episode_rows,auto_recovery,reversible_execution_drift,train_even_seed,human_review,0.7178807009648213,0.006508486160404265,0.2724980458176662,0.7178807009648213,0.0031127670571082233
NeedlePick,action_noise,monitor_corrected,coarse,43000,0,1.0,44,-43.0,0.2248327019361904,0.0210810009321871,0.0210810009321871,0.2037517010040033,0.75,2,0.0,0.0,0.9772727272727272,runs/surrol_needlepick_phase_replan_w32_5seed.csv,internal_phase_replan,standard_corruptions,"NeedlePick standard action corruptions, internal phase-aware recovery",0.0,0.0,0.0,1.0,master_episode_rows,auto_recovery,reversible_execution_drift,train_even_seed,auto_recovery,0.457389100743798,0.2742068594198018,0.457389100743798,0.2623358761887347,0.006068163647665605
NeedlePick,action_noise,monitor_corrected,coarse,43002,0,1.0,43,-42.0,0.276283544707664,0.0211040054244525,0.0211040054244525,0.2551795392832115,0.7209302325581395,2,0.0,0.0,0.9767441860465116,runs/surrol_needlepick_phase_replan_w32_5seed.csv,internal_phase_replan,standard_corruptions,"NeedlePick standard action corruptions, internal phase-aware recovery",0.0,0.0,0.0,1.0,master_episode_rows,auto_recovery,reversible_execution_drift,train_even_seed,auto_recovery,0.520880500080745,0.2569461367225931,0.520880500080745,0.21636596407010533,0.005807399126556459
NeedlePick,action_noise,monitor_corrected,coarse,43004,0,1.0,35,-34.0,0.2330517517043435,0.0248480066467928,0.0248480066467928,0.2082037450575506,0.7142857142857143,2,0.0,0.0,0.9428571428571428,runs/surrol_needlepick_phase_replan_w32_5seed.csv,internal_phase_replan,standard_corruptions,"NeedlePick standard action corruptions, internal phase-aware recovery",0.0,0.0,0.0,1.0,master_episode_rows,auto_recovery,reversible_execution_drift,train_even_seed,auto_recovery,0.461218424437603,0.32428097928813154,0.461218424437603,0.20830618630580275,0.006194409968462601
NeedlePick,action_dropout,clean,coarse,43000,0,1.0,44,-43.0,0.2248327019361904,0.0210823226468185,0.0210823226468185,0.2037503792893718,0.7272727272727273,0,0.0,0.0,0.0,runs/surrol_needlepick_phase_replan_w32_5seed.csv,internal_phase_replan,standard_corruptions,"NeedlePick standard action corruptions, internal phase-aware recovery",0.0,0.0,0.0,1.0,master_episode_rows,auto_execute,reversible_execution_drift,train_even_seed,auto_execute,0.9724795694713942,0.9724795694713942,0.020985105590730316,0.0049583113571908255,0.001577013580684739
NeedlePick,action_dropout,clean,coarse,43002,0,1.0,42,-41.0,0.276283544707664,0.0211041973088774,0.0211041973088774,0.2551793473987866,0.6904761904761905,0,0.0,0.0,0.0,runs/surrol_needlepick_phase_replan_w32_5seed.csv,internal_phase_replan,standard_corruptions,"NeedlePick standard action corruptions, internal phase-aware recovery",0.0,0.0,0.0,1.0,master_episode_rows,auto_execute,reversible_execution_drift,train_even_seed,auto_execute,0.9688527395271961,0.9688527395271961,0.025294197246499294,0.004257444249173266,0.00159561897713137
NeedlePick,action_dropout,clean,coarse,43004,0,1.0,37,-36.0,0.2330517517043435,0.0159348329772258,0.0159348329772258,0.2171169187271176,0.6486486486486487,0,0.0,0.0,0.0,runs/surrol_needlepick_phase_replan_w32_5seed.csv,internal_phase_replan,standard_corruptions,"NeedlePick standard action corruptions, internal phase-aware recovery",0.0,0.0,0.0,1.0,master_episode_rows,auto_execute,reversible_execution_drift,train_even_seed,auto_execute,0.9747370458276575,0.9747370458276575,0.019882131779236208,0.003908224710208676,0.0014725976828976375
NeedlePick,action_dropout,perturbed,coarse,43000,0,0.0,200,-200.0,0.2248327019361904,0.2247712143305472,0.2247707982575996,6.148760564322897e-05,0.98,0,0.0,0.0,0.0,runs/surrol_needlepick_phase_replan_w32_5seed.csv,internal_phase_replan,standard_corruptions,"NeedlePick standard action corruptions, internal phase-aware recovery",0.0,0.0,0.0,1.0,master_episode_rows,auto_recovery,reversible_execution_drift,train_even_seed,human_review,0.7192570500565563,0.008808143800176877,0.26846531423109316,0.7192570500565563,0.0034694919121736126
NeedlePick,action_dropout,perturbed,coarse,43002,0,0.0,200,-200.0,0.276283544707664,0.2006484283390624,0.1501626785184873,0.0756351163686015,0.945,0,0.0,0.0,0.0,runs/surrol_needlepick_phase_replan_w32_5seed.csv,internal_phase_replan,standard_corruptions,"NeedlePick standard action corruptions, internal phase-aware recovery",0.0,0.0,0.0,1.0,master_episode_rows,auto_recovery,reversible_execution_drift,train_even_seed,human_review,0.5531098854233084,0.0168885450474897,0.42534205028084465,0.5531098854233084,0.004659519248357163
NeedlePick,action_dropout,perturbed,coarse,43004,0,0.0,200,-200.0,0.2330517517043435,0.1930878906955348,0.1531471222730678,0.0399638610088086,0.96,0,0.0,0.0,0.0,runs/surrol_needlepick_phase_replan_w32_5seed.csv,internal_phase_replan,standard_corruptions,"NeedlePick standard action corruptions, internal phase-aware recovery",0.0,0.0,0.0,1.0,master_episode_rows,auto_recovery,reversible_execution_drift,train_even_seed,human_review,0.6170790112360474,0.018065010452244092,0.3601523532198465,0.6170790112360474,0.004703625091862137
NeedlePick,action_dropout,monitor_corrected,coarse,43000,0,1.0,45,-44.0,0.2248327019361904,0.0210995030053168,0.0210995030053168,0.2037331989308735,0.7555555555555555,2,0.0,0.0,0.9555555555555556,runs/surrol_needlepick_phase_replan_w32_5seed.csv,internal_phase_replan,standard_corruptions,"NeedlePick standard action corruptions, internal phase-aware recovery",0.0,0.0,0.0,1.0,master_episode_rows,auto_recovery,reversible_execution_drift,train_even_seed,auto_recovery,0.44732450177445926,0.29083323189226734,0.44732450177445926,0.2556894286662276,0.006152837667045931
