failure,episodes,mean_review_score,review_or_abort_rate,mean_final_distance,mean_steps,mean_recovery_phase_replans
perception_bias,30,0.6644459406131816,0.6666666666666666,0.16892744718824623,132.43333333333334,0.0
jaw_stuck_open,60,0.6599763984150449,0.6666666666666666,0.0915794650127278,119.96666666666667,0.6166666666666667
depth_scale_error,30,0.6565874589614168,0.6666666666666666,0.1688211980153381,132.43333333333334,0.0
near_target_drift,45,0.05925275016773338,0.044444444444444446,0.04312155545998314,82.06666666666666,0.0
action_dropout,30,0.032373531317732185,0.0,0.08630192822023522,97.4,0.13333333333333333
execution_slip,30,0.031723441943546066,0.0,0.09166388654269136,94.73333333333333,0.06666666666666667
action_noise,30,0.030250544395010424,0.0,0.0928478832962069,91.53333333333333,0.0
action_freeze,15,0.029571936218242285,0.0,0.14931340230228948,53.46666666666667,0.0
none,100,0.021611041918085206,0.0,0.01670401468905587,35.92,0.0
