suite,task,failure,controller,seed,episode,route,route_reason,success,final_distance,steps,max_triage_risk,first_action_anomaly_step,first_grasp_uncertain_step,first_perception_uncertain_step,first_review_step,first_abort_step,first_monitor_trigger_step,first_success_step,monitor_triggers,recovery_phase_replans,recovery_override_rate,trigger_mode,return,initial_distance,min_distance,distance_reduction,risk_event_rate,recovery_replans,visual_reestimate_triggers,unsafe_warning_events,unsafe_abort,min_danger_distance,review_needed,failure_or_review,first_action_anomaly_missing,first_grasp_uncertain_missing,first_perception_uncertain_missing,first_review_missing,learned_review_risk,split
standard_corruptions,NeedlePick,execution_slip,clean,43000,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0210823226468185,44,2.25,999.0,999.0,999.0,999.0,,,43.0,0.0,0.0,0.0,,,,,,,,,0.0,,1.0,0,1,1.0,1.0,1.0,1.0,0.008609831403276006,train_even_seed
standard_corruptions,NeedlePick,execution_slip,clean,43002,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0211041973088774,42,2.25,999.0,999.0,999.0,999.0,,,41.0,0.0,0.0,0.0,,,,,,,,,0.0,,1.0,0,1,1.0,1.0,1.0,1.0,0.008458417799193147,train_even_seed
standard_corruptions,NeedlePick,execution_slip,clean,43004,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0159348329772258,37,2.25,999.0,999.0,999.0,999.0,,,36.0,0.0,0.0,0.0,,,,,,,,,0.0,,1.0,0,1,1.0,1.0,1.0,1.0,0.00793768106152239,train_even_seed
standard_corruptions,NeedlePick,execution_slip,monitor_corrected,43000,0,auto_recovery,reversible_action_or_execution_anomaly,1.0,0.0210822590820139,45,2.59375,0.0,999.0,999.0,999.0,,0.0,44.0,2.0,0.0,0.9777777777777776,,,,,,,,,0.0,,1.0,0,1,0.0,1.0,1.0,1.0,0.0022021260858075824,train_even_seed
standard_corruptions,NeedlePick,execution_slip,monitor_corrected,43002,0,auto_recovery,reversible_action_or_execution_anomaly,1.0,0.0210770073306164,43,2.59375,0.0,999.0,999.0,999.0,,0.0,42.0,2.0,0.0,0.9767441860465116,,,,,,,,,0.0,,1.0,0,1,0.0,1.0,1.0,1.0,0.0021624215055407823,train_even_seed
standard_corruptions,NeedlePick,execution_slip,monitor_corrected,43004,0,auto_recovery,reversible_action_or_execution_anomaly,1.0,0.0211679095260486,80,2.59375,0.0,999.0,999.0,999.0,,0.0,79.0,3.0,1.0,0.9375,,,,,,,,,0.0,,1.0,0,1,0.0,1.0,1.0,1.0,0.010928886937536866,train_even_seed
standard_corruptions,NeedlePick,execution_slip,perturbed,43000,0,auto_recovery,reversible_action_or_execution_anomaly,0.0,0.2247708061690585,200,3.25,0.0,999.0,999.0,32.0,,,,0.0,0.0,0.0,,,,,,,,,0.0,,1.0,0,1,0.0,1.0,1.0,0.0,0.04078067802263725,train_even_seed
standard_corruptions,NeedlePick,execution_slip,perturbed,43002,0,auto_recovery,reversible_action_or_execution_anomaly,0.0,0.2762330213360277,200,3.25,0.0,999.0,999.0,32.0,,,,0.0,0.0,0.0,,,,,,,,,0.0,,1.0,0,1,0.0,1.0,1.0,0.0,0.04891525691320382,train_even_seed
standard_corruptions,NeedlePick,execution_slip,perturbed,43004,0,auto_recovery,reversible_action_or_execution_anomaly,0.0,0.2329920163894682,200,3.25,0.0,999.0,999.0,32.0,,,,0.0,0.0,0.0,,,,,,,,,0.0,,1.0,0,1,0.0,1.0,1.0,0.0,0.041987257472198114,train_even_seed
standard_corruptions,NeedlePick,none,clean,43000,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0210823226468185,44,2.25,999.0,999.0,999.0,999.0,,,43.0,0.0,0.0,0.0,,,,,,,,,0.0,,1.0,0,0,1.0,1.0,1.0,1.0,0.008609831403276006,train_even_seed
