suite,task,failure,controller,seed,episode,route,route_reason,success,final_distance,steps,max_triage_risk,first_action_anomaly_step,first_grasp_uncertain_step,first_perception_uncertain_step,first_review_step,first_abort_step,first_monitor_trigger_step,first_success_step,monitor_triggers,recovery_phase_replans,recovery_override_rate,trigger_mode,return,initial_distance,min_distance,distance_reduction,risk_event_rate,recovery_replans,visual_reestimate_triggers,unsafe_warning_events,unsafe_abort,min_danger_distance,review_needed,failure_or_review,first_action_anomaly_missing,first_grasp_uncertain_missing,first_perception_uncertain_missing,first_review_missing,learned_review_risk,split,route_idx,review_or_abort,not_auto_execute,progress_fraction,first_action_anomaly_signal,first_grasp_uncertain_signal,first_perception_uncertain_signal,inverse_min_danger_distance,stall_or_slow_progress,failure_family_known,multisignal_review_score,multisignal_review_pred,multisignal_route_pred,multisignal_route_confidence,split_multisignal
standard_corruptions,NeedlePick,action_noise,clean,43004,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0159348329772258,37.0,2.25,999.0,999.0,999.0,999.0,,,36.0,0.0,0.0,0.0,,,0.02108136455076135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,1.0,1.0,1.0,1.0,0.0079376810615223,train_even_seed,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,1,0.02034873498270383,0,auto_execute,0.9566761436015168,train
standard_corruptions,NeedlePick,action_noise,monitor_corrected,43000,0,auto_recovery,reversible_action_or_execution_anomaly,1.0,0.0210810009321871,44.0,2.59375,0.0,999.0,999.0,999.0,,0.0,43.0,2.0,0.0,0.9772727272727272,,,0.02108136455076135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0.0,1.0,1.0,1.0,0.0021822006182596,train_even_seed,1,0,1,0.0,1.0,0.0,0.0,1.0,1.0,1,0.010482799899296555,0,auto_recovery,0.9603180330993082,train
standard_corruptions,NeedlePick,action_noise,monitor_corrected,43002,0,auto_recovery,reversible_action_or_execution_anomaly,1.0,0.0211040054244525,43.0,2.59375,0.0,999.0,999.0,999.0,,0.0,42.0,2.0,0.0,0.9767441860465116,,,0.02108136455076135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0.0,1.0,1.0,1.0,0.0021626370454811,train_even_seed,1,0,1,0.0,1.0,0.0,0.0,1.0,1.0,1,0.010399182032619594,0,auto_recovery,0.9600267340267836,validation
standard_corruptions,NeedlePick,action_noise,monitor_corrected,43004,0,auto_recovery,reversible_action_or_execution_anomaly,1.0,0.0248480066467928,35.0,2.59375,0.0,999.0,999.0,999.0,,0.0,34.0,2.0,0.0,0.9428571428571428,,,0.02108136455076135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0.0,1.0,1.0,1.0,0.002025032257747,train_even_seed,1,0,1,0.0,1.0,0.0,0.0,1.0,1.0,1,0.009859658842838794,0,auto_recovery,0.957582438214496,train
standard_corruptions,NeedlePick,action_noise,perturbed,43000,0,auto_recovery,reversible_action_or_execution_anomaly,0.0,0.1870661590356343,200.0,3.25,0.0,999.0,999.0,31.0,,,,0.0,0.0,0.0,,,0.02108136455076135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0.0,1.0,1.0,0.0,0.0356601733453245,train_even_seed,1,0,1,0.0,1.0,0.0,0.0,1.0,1.0,1,0.047256020357807293,0,auto_recovery,0.9662654547748102,train
standard_corruptions,NeedlePick,action_noise,perturbed,43002,0,auto_recovery,reversible_action_or_execution_anomaly,0.0,0.264427617234559,200.0,3.25,0.0,999.0,999.0,37.0,,,,0.0,0.0,0.0,,,0.02108136455076135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0.0,1.0,1.0,0.0,0.0469228581527558,train_even_seed,1,0,1,0.0,1.0,0.0,0.0,1.0,1.0,1,0.06526764622236433,0,auto_recovery,0.9678810848219195,validation
standard_corruptions,NeedlePick,action_noise,perturbed,43004,0,auto_recovery,reversible_action_or_execution_anomaly,0.0,0.2543641285605397,200.0,3.25,0.0,999.0,999.0,30.0,,,,0.0,0.0,0.0,,,0.02108136455076135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0.0,1.0,1.0,0.0,0.0452855911312619,train_even_seed,1,0,1,0.0,1.0,0.0,0.0,1.0,1.0,1,0.06257426105141209,0,auto_recovery,0.9677929289701203,train
standard_corruptions,NeedlePick,execution_slip,clean,43000,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0210823226468185,44.0,2.25,999.0,999.0,999.0,999.0,,,43.0,0.0,0.0,0.0,,,0.02108136455076135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,1.0,1.0,1.0,1.0,0.008609831403276,train_even_seed,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,1,0.021984268717299825,0,auto_execute,0.9523371691658488,train
standard_corruptions,NeedlePick,execution_slip,clean,43002,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0211041973088774,42.0,2.25,999.0,999.0,999.0,999.0,,,41.0,0.0,0.0,0.0,,,0.02108136455076135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,1.0,1.0,1.0,1.0,0.0084584177991931,train_even_seed,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,1,0.021632041851234424,0,auto_execute,0.9532558953477045,validation
standard_corruptions,NeedlePick,execution_slip,clean,43004,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0159348329772258,37.0,2.25,999.0,999.0,999.0,999.0,,,36.0,0.0,0.0,0.0,,,0.02108136455076135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,1.0,1.0,1.0,1.0,0.0079376810615223,train_even_seed,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,1,0.02034873498270383,0,auto_execute,0.9566761436015168,train
standard_corruptions,NeedlePick,execution_slip,monitor_corrected,43000,0,auto_recovery,reversible_action_or_execution_anomaly,1.0,0.0210822590820139,45.0,2.59375,0.0,999.0,999.0,999.0,,0.0,44.0,2.0,0.0,0.9777777777777776,,,0.02108136455076135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0.0,1.0,1.0,1.0,0.0022021260858075,train_even_seed,1,0,1,0.0,1.0,0.0,0.0,1.0,1.0,1,0.010568075163280196,0,auto_recovery,0.9606096973943145,train
