split,step_rows,episodes,accuracy,macro_f1,missed_high_risk_step_rate,false_alarm_on_nominal_step_rate,route_diversity
test,3351,26,0.9964189794091316,0.9954807092165792,0.0,0.024793388429752067,4
train,7472,59,0.9807280513918629,0.983907621261763,0.002053388090349076,0.06288416075650118,4
