score,route_error_AUROC,review_or_abort_AUROC,review_or_abort_AUPRC
msp,0.9926388888888888,0.0792259485094851,0.12515311311548302
entropy,0.9926388888888888,0.08866869918699187,0.12565053008244662
margin_inverse,0.9926388888888888,0.06516768292682927,0.12456306033662906
review_score,0.11791666666666667,1.0,1.0
