target,feature,weight,abs_weight,train_mean,train_std
review_or_abort,steps,0.5679054826296991,0.5679054826296991,85.27477477477477,70.40834047705609
review_or_abort,final_distance,0.4067526639750267,0.4067526639750267,0.07774796870681595,0.10240251485554865
review_or_abort,min_distance,0.10148365606199845,0.10148365606199845,0.0021767675067924865,0.01017861452285171
review_or_abort,distance_reduction,-0.04600297633275632,0.04600297633275632,0.011134942119169435,0.043817073232334754
review_or_abort,risk_event_rate,-0.0918973513402904,0.0918973513402904,0.006995631995631996,0.05672502848584664
review_or_abort,max_triage_risk,0.019514757344537722,0.019514757344537722,3.1924268018018016,3.076086423930759
review_or_abort,first_action_anomaly_signal,-0.5175064181560264,0.5175064181560264,0.24127731334938535,0.4256260754223484
review_or_abort,monitor_triggers,0.21229517009426413,0.21229517009426413,0.5405405405405406,1.137278114454739
review_or_abort,recovery_override_rate,0.04174825382736326,0.04174825382736326,0.2137792048644329,0.37817249731511543
review_or_abort,first_perception_uncertain_signal,0.7845326069695834,0.7845326069695834,0.10810810810810811,0.3105168998128662
review_or_abort,visual_reestimate_triggers,0.0,0.0,0.0,1.0
review_or_abort,learned_review_risk,1.20827172609628,1.20827172609628,0.21721120292564475,0.3920007035387344
review_or_abort,first_grasp_uncertain_signal,0.8055241805370772,0.8055241805370772,0.13497281064848632,0.3350430788337712
review_or_abort,recovery_phase_replans,0.35696520414797034,0.35696520414797034,0.11711711711711711,0.43987587804445805
review_or_abort,recovery_replans,0.0,0.0,0.0,1.0
review_or_abort,unsafe_warning_events,-0.10619484175711616,0.10619484175711616,0.545045045045045,3.3805548544724235
review_or_abort,unsafe_abort,0.38437083556085844,0.38437083556085844,0.0045045045045045045,0.06696427363656984
review_or_abort,inverse_min_danger_distance,-0.014274772280144902,0.014274772280144902,2.2446113418166935,4.837311991096207
review_or_abort,progress_fraction,-0.033641836932519355,0.033641836932519355,0.05259688280535651,0.2037212112260439
review_or_abort,stall_or_slow_progress,0.03364183693251915,0.03364183693251915,0.9474031171946433,0.20372121122604386
route::auto_execute,steps,-0.5233626031561467,0.5233626031561467,,
route::auto_execute,final_distance,-0.41051005503949883,0.41051005503949883,,
route::auto_execute,min_distance,-0.09215499617230012,0.09215499617230012,,
route::auto_execute,distance_reduction,-0.08504066708891997,0.08504066708891997,,
route::auto_execute,risk_event_rate,-0.07729280127404307,0.07729280127404307,,
route::auto_execute,max_triage_risk,-0.12403696022079495,0.12403696022079495,,
route::auto_execute,first_action_anomaly_signal,-0.9539833207402058,0.9539833207402058,,
route::auto_execute,monitor_triggers,-0.3607537452696711,0.3607537452696711,,
route::auto_execute,recovery_override_rate,-0.10047732871737146,0.10047732871737146,,
route::auto_execute,first_perception_uncertain_signal,-0.27497981777168495,0.27497981777168495,,
route::auto_execute,visual_reestimate_triggers,0.0,0.0,,
route::auto_execute,learned_review_risk,-0.4067928543255943,0.4067928543255943,,
route::auto_execute,first_grasp_uncertain_signal,-0.26107104664069597,0.26107104664069597,,
route::auto_execute,recovery_phase_replans,-0.16192026373251503,0.16192026373251503,,
route::auto_execute,recovery_replans,0.0,0.0,,
route::auto_execute,unsafe_warning_events,-0.044059581433991704,0.044059581433991704,,
route::auto_execute,unsafe_abort,-0.15643209549400736,0.15643209549400736,,
route::auto_execute,inverse_min_danger_distance,-0.09338431781031661,0.09338431781031661,,
route::auto_execute,progress_fraction,-0.05469777574521713,0.05469777574521713,,
route::auto_execute,stall_or_slow_progress,0.054697775745217274,0.054697775745217274,,
route::auto_recovery,steps,0.16442705014447861,0.16442705014447861,,
route::auto_recovery,final_distance,0.12356814713535347,0.12356814713535347,,
route::auto_recovery,min_distance,-0.015681676806104876,0.015681676806104876,,
route::auto_recovery,distance_reduction,0.16580571818373904,0.16580571818373904,,
route::auto_recovery,risk_event_rate,0.1071306031172103,0.1071306031172103,,
route::auto_recovery,max_triage_risk,0.09400734017860927,0.09400734017860927,,
route::auto_recovery,first_action_anomaly_signal,1.3051348142559887,1.3051348142559887,,
route::auto_recovery,monitor_triggers,0.2079057007022896,0.2079057007022896,,
route::auto_recovery,recovery_override_rate,0.10712817119240685,0.10712817119240685,,
route::auto_recovery,first_perception_uncertain_signal,-0.1983345310827516,0.1983345310827516,,
route::auto_recovery,visual_reestimate_triggers,0.0,0.0,,
route::auto_recovery,learned_review_risk,-0.319351110867641,0.319351110867641,,
route::auto_recovery,first_grasp_uncertain_signal,-0.22275093566388435,0.22275093566388435,,
route::auto_recovery,recovery_phase_replans,-0.07826658604706756,0.07826658604706756,,
route::auto_recovery,recovery_replans,0.0,0.0,,
route::auto_recovery,unsafe_warning_events,0.09796355456949987,0.09796355456949987,,
route::auto_recovery,unsafe_abort,-0.19186615958580153,0.19186615958580153,,
route::auto_recovery,inverse_min_danger_distance,0.1108463480675903,0.1108463480675903,,
route::auto_recovery,progress_fraction,0.12581879299415244,0.12581879299415244,,
route::auto_recovery,stall_or_slow_progress,-0.12581879299415238,0.12581879299415238,,
route::human_review,steps,0.3853366487723137,0.3853366487723137,,
route::human_review,final_distance,0.28292550462323196,0.28292550462323196,,
route::human_review,min_distance,-0.06504814710700363,0.06504814710700363,,
route::human_review,distance_reduction,-0.06144508494290411,0.06144508494290411,,
route::human_review,risk_event_rate,-0.027590847569670326,0.027590847569670326,,
route::human_review,max_triage_risk,0.059464815028681305,0.059464815028681305,,
route::human_review,first_action_anomaly_signal,-0.32429437804642997,0.32429437804642997,,
route::human_review,monitor_triggers,0.11932551079249387,0.11932551079249387,,
route::human_review,recovery_override_rate,0.01619196476249597,0.01619196476249597,,
route::human_review,first_perception_uncertain_signal,0.47750084626035094,0.47750084626035094,,
route::human_review,visual_reestimate_triggers,0.0,0.0,,
route::human_review,learned_review_risk,0.7413698802892584,0.7413698802892584,,
route::human_review,first_grasp_uncertain_signal,0.4856068735250577,0.4856068735250577,,
route::human_review,recovery_phase_replans,0.24423214689014366,0.24423214689014366,,
route::human_review,recovery_replans,0.0,0.0,,
route::human_review,unsafe_warning_events,-0.03516052505186011,0.03516052505186011,,
route::human_review,unsafe_abort,-0.04342886206760002,0.04342886206760002,,
route::human_review,inverse_min_danger_distance,-0.06767491448875328,0.06767491448875328,,
route::human_review,progress_fraction,-0.06365000223197267,0.06365000223197267,,
route::human_review,stall_or_slow_progress,0.06365000223197269,0.06365000223197269,,
route::abort_candidate,steps,-0.026401095760646757,0.026401095760646757,,
route::abort_candidate,final_distance,0.0040164032809127115,0.0040164032809127115,,
route::abort_candidate,min_distance,0.17288482008540837,0.17288482008540837,,
route::abort_candidate,distance_reduction,-0.019319966151914707,0.019319966151914707,,
route::abort_candidate,risk_event_rate,-0.002246954273496863,0.002246954273496863,,
route::abort_candidate,max_triage_risk,-0.02943519498649553,0.02943519498649553,,
route::abort_candidate,first_action_anomaly_signal,-0.02685711546935279,0.02685711546935279,,
route::abort_candidate,monitor_triggers,0.03352253377488774,0.03352253377488774,,
route::abort_candidate,recovery_override_rate,-0.02284280723753131,0.02284280723753131,,
route::abort_candidate,first_perception_uncertain_signal,-0.004186497405914881,0.004186497405914881,,
route::abort_candidate,visual_reestimate_triggers,0.0,0.0,,
route::abort_candidate,learned_review_risk,-0.01522591509602367,0.01522591509602367,,
route::abort_candidate,first_grasp_uncertain_signal,-0.001784891220477167,0.001784891220477167,,
route::abort_candidate,recovery_phase_replans,-0.004045297110561072,0.004045297110561072,,
route::abort_candidate,recovery_replans,0.0,0.0,,
route::abort_candidate,unsafe_warning_events,-0.018743448083647907,0.018743448083647907,,
route::abort_candidate,unsafe_abort,0.3917271171474092,0.3917271171474092,,
route::abort_candidate,inverse_min_danger_distance,0.05021288423147957,0.05021288423147957,,
route::abort_candidate,progress_fraction,-0.00747101501696291,0.00747101501696291,,
route::abort_candidate,stall_or_slow_progress,0.007471015016962729,0.007471015016962729,,
