suite,task,failure,controller,seed,episode,route,route_reason,success,final_distance,steps,max_triage_risk,first_action_anomaly_step,first_grasp_uncertain_step,first_perception_uncertain_step,first_review_step,first_abort_step,first_monitor_trigger_step,first_success_step,monitor_triggers,recovery_phase_replans,recovery_override_rate
standard_corruptions,NeedlePick,execution_slip,clean,43001,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0220062874458691,36,2.25,,,,,,,35.0,0.0,0.0,0.0
standard_corruptions,NeedlePick,execution_slip,clean,43002,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0211041973088774,42,2.25,,,,,,,41.0,0.0,0.0,0.0
standard_corruptions,NeedlePick,execution_slip,clean,43003,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0178893382398011,41,2.25,,,,,,,40.0,0.0,0.0,0.0
standard_corruptions,NeedlePick,execution_slip,clean,43004,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0159348329772258,37,2.25,,,,,,,36.0,0.0,0.0,0.0
standard_corruptions,NeedlePick,execution_slip,monitor_corrected,43000,0,auto_recovery,reversible_action_or_execution_anomaly,1.0,0.0210822590820139,45,2.59375,0.0,,,,,0.0,44.0,2.0,0.0,0.9777777777777776
standard_corruptions,NeedlePick,execution_slip,monitor_corrected,43001,0,auto_recovery,reversible_action_or_execution_anomaly,1.0,0.0201006628207849,80,2.59375,0.0,,,,,0.0,79.0,3.0,1.0,0.9375
standard_corruptions,NeedlePick,execution_slip,monitor_corrected,43002,0,auto_recovery,reversible_action_or_execution_anomaly,1.0,0.0210770073306164,43,2.59375,0.0,,,,,0.0,42.0,2.0,0.0,0.9767441860465116
standard_corruptions,NeedlePick,execution_slip,monitor_corrected,43003,0,auto_recovery,reversible_action_or_execution_anomaly,1.0,0.0176015514674102,42,2.59375,0.0,,,,,0.0,41.0,2.0,0.0,0.9761904761904762
standard_corruptions,NeedlePick,execution_slip,monitor_corrected,43004,0,auto_recovery,reversible_action_or_execution_anomaly,1.0,0.0211679095260486,80,2.59375,0.0,,,,,0.0,79.0,3.0,1.0,0.9375
standard_corruptions,NeedlePick,execution_slip,perturbed,43000,0,auto_recovery,reversible_action_or_execution_anomaly,0.0,0.2247708061690585,200,3.25,0.0,,,32.0,,,,0.0,0.0,0.0
standard_corruptions,NeedlePick,execution_slip,perturbed,43001,0,auto_recovery,reversible_action_or_execution_anomaly,0.0,0.1681555969987981,200,3.25,0.0,,,32.0,,,,0.0,0.0,0.0
standard_corruptions,NeedlePick,execution_slip,perturbed,43002,0,auto_recovery,reversible_action_or_execution_anomaly,0.0,0.2762330213360277,200,3.25,0.0,,,32.0,,,,0.0,0.0,0.0
standard_corruptions,NeedlePick,execution_slip,perturbed,43003,0,auto_recovery,reversible_action_or_execution_anomaly,0.0,0.1958383551131128,200,3.25,0.0,,,32.0,,,,0.0,0.0,0.0
standard_corruptions,NeedlePick,execution_slip,perturbed,43004,0,auto_recovery,reversible_action_or_execution_anomaly,0.0,0.2329920163894682,200,3.25,0.0,,,32.0,,,,0.0,0.0,0.0
standard_corruptions,NeedlePick,none,clean,43000,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0210823226468185,44,2.25,,,,,,,43.0,0.0,0.0,0.0
