task,failure,controller,trigger_mode,seed,episode,success,steps,return,initial_distance,final_distance,min_distance,distance_reduction,risk_event_rate,monitor_triggers,recovery_replans,recovery_phase_replans,recovery_override_rate,source_csv,recovery_policy,experiment_suite,experiment_notes,visual_reestimate_triggers,unsafe_warning_events,unsafe_abort,min_danger_distance
NeedlePick,action_noise,perturbed,coarse,43003,0,0.0,200,-200.0,0.1893448593365003,0.2005255540394828,0.1892711427877557,-0.0111806947029824,1.0,0,0,0,0.0,runs/surrol_needlepick_phase_replan_w32_5seed.csv,internal_phase_replan,standard_corruptions,"NeedlePick standard action corruptions, internal phase-aware recovery",,,,
NeedlePick,action_noise,perturbed,coarse,43004,0,0.0,200,-200.0,0.2330517517043435,0.2543641285605397,0.2326488763243845,-0.0213123768561962,0.995,0,0,0,0.0,runs/surrol_needlepick_phase_replan_w32_5seed.csv,internal_phase_replan,standard_corruptions,"NeedlePick standard action corruptions, internal phase-aware recovery",,,,
NeedlePick,action_noise,monitor_corrected,coarse,43000,0,1.0,44,-43.0,0.2248327019361904,0.0210810009321871,0.0210810009321871,0.2037517010040033,0.75,2,0,0,0.9772727272727272,runs/surrol_needlepick_phase_replan_w32_5seed.csv,internal_phase_replan,standard_corruptions,"NeedlePick standard action corruptions, internal phase-aware recovery",,,,
NeedlePick,action_noise,monitor_corrected,coarse,43001,0,1.0,36,-35.0,0.1682387886550749,0.0155060134014243,0.0155060134014243,0.1527327752536506,0.75,2,0,0,0.9444444444444444,runs/surrol_needlepick_phase_replan_w32_5seed.csv,internal_phase_replan,standard_corruptions,"NeedlePick standard action corruptions, internal phase-aware recovery",,,,
NeedlePick,action_noise,monitor_corrected,coarse,43002,0,1.0,43,-42.0,0.276283544707664,0.0211040054244525,0.0211040054244525,0.2551795392832115,0.7209302325581395,2,0,0,0.9767441860465116,runs/surrol_needlepick_phase_replan_w32_5seed.csv,internal_phase_replan,standard_corruptions,"NeedlePick standard action corruptions, internal phase-aware recovery",,,,
NeedlePick,action_noise,monitor_corrected,coarse,43003,0,1.0,42,-41.0,0.1893448593365003,0.0178918885036113,0.0178918885036113,0.171452970832889,0.7380952380952381,2,0,0,0.9761904761904762,runs/surrol_needlepick_phase_replan_w32_5seed.csv,internal_phase_replan,standard_corruptions,"NeedlePick standard action corruptions, internal phase-aware recovery",,,,
NeedlePick,action_noise,monitor_corrected,coarse,43004,0,1.0,35,-34.0,0.2330517517043435,0.0248480066467928,0.0248480066467928,0.2082037450575506,0.7142857142857143,2,0,0,0.9428571428571428,runs/surrol_needlepick_phase_replan_w32_5seed.csv,internal_phase_replan,standard_corruptions,"NeedlePick standard action corruptions, internal phase-aware recovery",,,,
NeedlePick,action_dropout,clean,coarse,43000,0,1.0,44,-43.0,0.2248327019361904,0.0210823226468185,0.0210823226468185,0.2037503792893718,0.7272727272727273,0,0,0,0.0,runs/surrol_needlepick_phase_replan_w32_5seed.csv,internal_phase_replan,standard_corruptions,"NeedlePick standard action corruptions, internal phase-aware recovery",,,,
NeedlePick,action_dropout,clean,coarse,43001,0,1.0,36,-35.0,0.1682387886550749,0.0220062874458691,0.0220062874458691,0.1462325012092058,0.6944444444444444,0,0,0,0.0,runs/surrol_needlepick_phase_replan_w32_5seed.csv,internal_phase_replan,standard_corruptions,"NeedlePick standard action corruptions, internal phase-aware recovery",,,,
NeedlePick,action_dropout,clean,coarse,43002,0,1.0,42,-41.0,0.276283544707664,0.0211041973088774,0.0211041973088774,0.2551793473987866,0.6904761904761905,0,0,0,0.0,runs/surrol_needlepick_phase_replan_w32_5seed.csv,internal_phase_replan,standard_corruptions,"NeedlePick standard action corruptions, internal phase-aware recovery",,,,
NeedlePick,action_dropout,clean,coarse,43003,0,1.0,41,-40.0,0.1893448593365003,0.0178893382398011,0.0178893382398011,0.1714555210966991,0.7073170731707317,0,0,0,0.0,runs/surrol_needlepick_phase_replan_w32_5seed.csv,internal_phase_replan,standard_corruptions,"NeedlePick standard action corruptions, internal phase-aware recovery",,,,
NeedlePick,action_dropout,clean,coarse,43004,0,1.0,37,-36.0,0.2330517517043435,0.0159348329772258,0.0159348329772258,0.2171169187271176,0.6486486486486487,0,0,0,0.0,runs/surrol_needlepick_phase_replan_w32_5seed.csv,internal_phase_replan,standard_corruptions,"NeedlePick standard action corruptions, internal phase-aware recovery",,,,
NeedlePick,action_dropout,perturbed,coarse,43000,0,0.0,200,-200.0,0.2248327019361904,0.2247712143305472,0.2247707982575996,6.148760564322897e-05,0.98,0,0,0,0.0,runs/surrol_needlepick_phase_replan_w32_5seed.csv,internal_phase_replan,standard_corruptions,"NeedlePick standard action corruptions, internal phase-aware recovery",,,,
NeedlePick,action_dropout,perturbed,coarse,43001,0,0.0,200,-200.0,0.1682387886550749,0.165306290854355,0.1463980858436223,0.0029324978007199,0.955,0,0,0,0.0,runs/surrol_needlepick_phase_replan_w32_5seed.csv,internal_phase_replan,standard_corruptions,"NeedlePick standard action corruptions, internal phase-aware recovery",,,,
NeedlePick,action_dropout,perturbed,coarse,43002,0,0.0,200,-200.0,0.276283544707664,0.2006484283390624,0.1501626785184873,0.0756351163686015,0.945,0,0,0,0.0,runs/surrol_needlepick_phase_replan_w32_5seed.csv,internal_phase_replan,standard_corruptions,"NeedlePick standard action corruptions, internal phase-aware recovery",,,,
NeedlePick,action_dropout,perturbed,coarse,43003,0,0.0,200,-200.0,0.1893448593365003,0.1892706171759712,0.1892706171759712,7.424216052909216e-05,0.99,0,0,0,0.0,runs/surrol_needlepick_phase_replan_w32_5seed.csv,internal_phase_replan,standard_corruptions,"NeedlePick standard action corruptions, internal phase-aware recovery",,,,
NeedlePick,action_dropout,perturbed,coarse,43004,0,0.0,200,-200.0,0.2330517517043435,0.1930878906955348,0.1531471222730678,0.0399638610088086,0.96,0,0,0,0.0,runs/surrol_needlepick_phase_replan_w32_5seed.csv,internal_phase_replan,standard_corruptions,"NeedlePick standard action corruptions, internal phase-aware recovery",,,,
NeedlePick,action_dropout,monitor_corrected,coarse,43000,0,1.0,45,-44.0,0.2248327019361904,0.0210995030053168,0.0210995030053168,0.2037331989308735,0.7555555555555555,2,0,0,0.9555555555555556,runs/surrol_needlepick_phase_replan_w32_5seed.csv,internal_phase_replan,standard_corruptions,"NeedlePick standard action corruptions, internal phase-aware recovery",,,,
NeedlePick,action_dropout,monitor_corrected,coarse,43001,0,1.0,79,-78.0,0.1682387886550749,0.0201008439596367,0.0201008439596367,0.1481379446954382,0.7341772151898734,3,1,1,0.9367088607594936,runs/surrol_needlepick_phase_replan_w32_5seed.csv,internal_phase_replan,standard_corruptions,"NeedlePick standard action corruptions, internal phase-aware recovery",,,,
NeedlePick,action_dropout,monitor_corrected,coarse,43002,0,1.0,85,-84.0,0.276283544707664,0.0238176560888123,0.0238176560888123,0.2524658886188517,0.7529411764705882,3,1,1,0.8823529411764706,runs/surrol_needlepick_phase_replan_w32_5seed.csv,internal_phase_replan,standard_corruptions,"NeedlePick standard action corruptions, internal phase-aware recovery",,,,
NeedlePick,action_dropout,monitor_corrected,coarse,43003,0,1.0,83,-82.0,0.1893448593365003,0.0226079866191656,0.0226079866191656,0.1667368727173347,0.7590361445783133,3,1,1,0.9036144578313252,runs/surrol_needlepick_phase_replan_w32_5seed.csv,internal_phase_replan,standard_corruptions,"NeedlePick standard action corruptions, internal phase-aware recovery",,,,
NeedlePick,action_dropout,monitor_corrected,coarse,43004,0,1.0,79,-78.0,0.2330517517043435,0.0202460852769509,0.0202460852769509,0.2128056664273925,0.6962025316455697,3,1,1,0.9240506329113924,runs/surrol_needlepick_phase_replan_w32_5seed.csv,internal_phase_replan,standard_corruptions,"NeedlePick standard action corruptions, internal phase-aware recovery",,,,
NeedlePick,execution_slip,clean,coarse,43000,0,1.0,44,-43.0,0.2248327019361904,0.0210823226468185,0.0210823226468185,0.2037503792893718,0.7272727272727273,0,0,0,0.0,runs/surrol_needlepick_phase_replan_w32_5seed.csv,internal_phase_replan,standard_corruptions,"NeedlePick standard action corruptions, internal phase-aware recovery",,,,
NeedlePick,execution_slip,clean,coarse,43001,0,1.0,36,-35.0,0.1682387886550749,0.0220062874458691,0.0220062874458691,0.1462325012092058,0.6944444444444444,0,0,0,0.0,runs/surrol_needlepick_phase_replan_w32_5seed.csv,internal_phase_replan,standard_corruptions,"NeedlePick standard action corruptions, internal phase-aware recovery",,,,
NeedlePick,execution_slip,clean,coarse,43002,0,1.0,42,-41.0,0.276283544707664,0.0211041973088774,0.0211041973088774,0.2551793473987866,0.6904761904761905,0,0,0,0.0,runs/surrol_needlepick_phase_replan_w32_5seed.csv,internal_phase_replan,standard_corruptions,"NeedlePick standard action corruptions, internal phase-aware recovery",,,,
