route,support,precision,recall,f1,tp,fp,fn
auto_execute,234,0.9506172839506173,0.9871794871794872,0.9685534591194969,231,12,3
auto_recovery,111,0.9347826086956522,0.38738738738738737,0.5477707006369428,43,3,68
human_review,108,0.6585365853658537,1.0,0.7941176470588235,108,56,0
abort_candidate,7,1.0,1.0,1.0,7,0,0
overall,460,0.8456521739130435,0.8456521739130435,0.8276104517038158,389,71,0
