model,rows,accuracy,macro_f1,missed_non_continue_rate,false_intervention_rate,missed_severe_rate,route_diversity
uniform_retry,370,0.6702702702702703,0.284688995215311,0.0,0.0,0.0,2
visual_only,370,0.32432432432432434,0.1727574750830565,0.8518518518518519,0.0,0.6721311475409836,2
embedding_only,370,0.3783783783783784,0.18070818070818073,0.7037037037037037,0.0,0.3442622950819672,2
single_score,370,0.3783783783783784,0.18070818070818073,0.7037037037037037,0.0,0.3442622950819672,2
composite_vppv,370,0.7324324324324324,0.7126107852565123,0.34444444444444444,0.01,0.32786885245901637,6
