task,evidence,target_mechanism,budget,ranking_policy,selected_steps,capture_rate,precision_at_budget
NeedlePick,action_outcome_mismatch_evidence,policy_approach_drift,0.1,global_rank,537,1.0,0.9851024208566108
NeedlePick,action_outcome_mismatch_evidence,policy_approach_drift,0.1,mechanism_gated_rank,537,1.0,0.9851024208566108
NeedlePick,action_outcome_mismatch_evidence,policy_approach_drift,0.2,global_rank,1073,1.0,0.4930102516309413
NeedlePick,action_outcome_mismatch_evidence,policy_approach_drift,0.2,mechanism_gated_rank,1073,1.0,0.4930102516309413
NeedlePick,composite_step_score,all,0.05,global_rank,269,0.06938354397730204,1.0
NeedlePick,composite_step_score,all,0.05,mechanism_gated_rank,269,0.06938354397730204,1.0
NeedlePick,composite_step_score,all,0.1,global_rank,537,0.1385091565643539,1.0
NeedlePick,composite_step_score,all,0.1,mechanism_gated_rank,537,0.1385091565643539,1.0
NeedlePick,composite_step_score,all,0.2,global_rank,1073,0.2767603817384576,1.0
NeedlePick,composite_step_score,all,0.2,mechanism_gated_rank,1073,0.2767603817384576,1.0
