suite,task,failure,controller,seed,episode,route,route_reason,success,final_distance,steps,max_triage_risk,first_action_anomaly_step,first_grasp_uncertain_step,first_perception_uncertain_step,first_review_step,first_abort_step,first_monitor_trigger_step,first_success_step,monitor_triggers,recovery_phase_replans,recovery_override_rate,unsafe_warning_events,unsafe_abort,min_danger_distance,source,trigger_mode,return,initial_distance,min_distance,distance_reduction,risk_event_rate,recovery_replans,visual_reestimate_triggers,family,first_action_anomaly_observed,first_grasp_uncertain_observed,first_perception_uncertain_observed,first_review_observed,first_abort_observed,pc1,pc2,split
standard_corruptions,NeedlePick,action_noise,clean,43001,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0220062874458691,36,2.25,,,,,,,35.0,0.0,0.0,0.0,0.0,0.0,1.0,triage_routes,,,,,,,,,nominal,0.0,0.0,0.0,0.0,0.0,-1.424026149542197,-0.05184331213916096,test_odd_seed
standard_corruptions,NeedlePick,action_noise,clean,43002,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0211041973088774,42,2.25,,,,,,,41.0,0.0,0.0,0.0,0.0,0.0,1.0,triage_routes,,,,,,,,,nominal,0.0,0.0,0.0,0.0,0.0,-1.3910194796761848,-0.06399327274147912,train_even_seed
standard_corruptions,NeedlePick,action_noise,clean,43003,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0178893382398011,41,2.25,,,,,,,40.0,0.0,0.0,0.0,0.0,0.0,1.0,triage_routes,,,,,,,,,nominal,0.0,0.0,0.0,0.0,0.0,-1.4094851376512463,-0.05412218170435533,test_odd_seed
standard_corruptions,NeedlePick,action_noise,clean,43004,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0159348329772258,37,2.25,,,,,,,36.0,0.0,0.0,0.0,0.0,0.0,1.0,triage_routes,,,,,,,,,nominal,0.0,0.0,0.0,0.0,0.0,-1.4413362482703862,-0.040063041704107384,train_even_seed
standard_corruptions,NeedlePick,action_noise,monitor_corrected,43000,0,auto_recovery,reversible_action_or_execution_anomaly,1.0,0.0210810009321871,44,2.59375,0.0,,,,,0.0,43.0,2.0,0.0,0.9772727272727272,0.0,0.0,1.0,triage_routes,,,,,,,,,execution_drift,1.0,0.0,0.0,0.0,0.0,-1.0494385053196857,2.15169569818848,train_even_seed
standard_corruptions,NeedlePick,action_noise,monitor_corrected,43001,0,auto_recovery,reversible_action_or_execution_anomaly,1.0,0.0155060134014243,36,2.59375,0.0,,,,,0.0,35.0,2.0,0.0,0.9444444444444444,0.0,0.0,1.0,triage_routes,,,,,,,,,execution_drift,1.0,0.0,0.0,0.0,0.0,-1.1191254965016508,2.1408614153107077,test_odd_seed
standard_corruptions,NeedlePick,action_noise,monitor_corrected,43002,0,auto_recovery,reversible_action_or_execution_anomaly,1.0,0.0211040054244525,43,2.59375,0.0,,,,,0.0,42.0,2.0,0.0,0.9767441860465116,0.0,0.0,1.0,triage_routes,,,,,,,,,execution_drift,1.0,0.0,0.0,0.0,0.0,-1.0554232338087894,2.153327917366365,train_even_seed
standard_corruptions,NeedlePick,action_noise,monitor_corrected,43003,0,auto_recovery,reversible_action_or_execution_anomaly,1.0,0.0178918885036113,42,2.59375,0.0,,,,,0.0,41.0,2.0,0.0,0.9761904761904762,0.0,0.0,1.0,triage_routes,,,,,,,,,execution_drift,1.0,0.0,0.0,0.0,0.0,-1.073871016677583,2.1624700921604525,test_odd_seed
standard_corruptions,NeedlePick,action_noise,monitor_corrected,43004,0,auto_recovery,reversible_action_or_execution_anomaly,1.0,0.0248480066467928,35,2.59375,0.0,,,,,0.0,34.0,2.0,0.0,0.9428571428571428,0.0,0.0,1.0,triage_routes,,,,,,,,,execution_drift,1.0,0.0,0.0,0.0,0.0,-1.0891946068492862,2.1193845383921155,train_even_seed
standard_corruptions,NeedlePick,action_noise,perturbed,43000,0,auto_recovery,reversible_action_or_execution_anomaly,0.0,0.1870661590356343,200,3.25,0.0,,,31.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,triage_routes,,,,,,,,,execution_drift,1.0,0.0,0.0,1.0,0.0,2.398530430213479,-1.3395755271767584,train_even_seed
