failure,controller,trigger_mode,seed,episode,step,success,distance,progress,reward,risk_event,monitor_trigger,recovery_override,recovery_replan,recovery_phase_replans,recovery_phase,observable_replan_signal,close_command_count,action_deviation,clip_event,stalled_count,task,min_distance_so_far,close_score,stall_score,far_score,no_improve_score,observable_risk_score
jaw_stuck_open,clean,coarse,43000,0,0,0.0,0.224771778300761,6.0923635429366296e-05,-1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,1,NeedlePick,0.224771778300761,0.0,0.125,1.0,1.0,2.125
jaw_stuck_open,clean,coarse,43000,0,1,0.0,0.224770802213329,9.760874320474675e-07,-1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,2,NeedlePick,0.224770802213329,0.0,0.25,1.0,1.0,2.25
jaw_stuck_open,clean,coarse,43000,0,2,0.0,0.224770802213329,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,3,NeedlePick,0.224770802213329,0.0,0.375,1.0,1.0,2.375
jaw_stuck_open,clean,coarse,43000,0,3,0.0,0.224770802213329,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,4,NeedlePick,0.224770802213329,0.0,0.5,1.0,1.0,2.5
jaw_stuck_open,clean,coarse,43000,0,4,0.0,0.224770802213329,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,5,NeedlePick,0.224770802213329,0.0,0.625,1.0,1.0,2.625
jaw_stuck_open,clean,coarse,43000,0,5,0.0,0.224770802213329,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,6,NeedlePick,0.224770802213329,0.0,0.75,1.0,1.0,2.75
jaw_stuck_open,clean,coarse,43000,0,6,0.0,0.224770802213329,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,7,NeedlePick,0.224770802213329,0.0,0.875,1.0,1.0,2.875
jaw_stuck_open,clean,coarse,43000,0,7,0.0,0.224770802213329,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,8,NeedlePick,0.224770802213329,0.0,1.0,1.0,1.0,3.0
jaw_stuck_open,clean,coarse,43000,0,8,0.0,0.224770802213329,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,9,NeedlePick,0.224770802213329,0.0,1.0,1.0,1.0,3.0
jaw_stuck_open,clean,coarse,43000,0,9,0.0,0.224770802213329,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,10,NeedlePick,0.224770802213329,0.0,1.0,1.0,1.0,3.0
jaw_stuck_open,clean,coarse,43000,0,10,0.0,0.224770802213329,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,11,NeedlePick,0.224770802213329,0.0,1.0,1.0,1.0,3.0
