model,step_rows,accuracy,macro_f1,missed_high_risk_step_rate,false_alarm_on_nominal_step_rate,route_diversity
visual_only,10823,0.561212233207059,0.3674246280689515,0.1551556420233463,0.0,2
depth_only,10823,0.5610274415596415,0.38061614232586194,0.5776994163424124,0.0,2
policy_only,10823,0.35674027533955466,0.35517244192808695,0.8448443579766537,0.005386687187379761,2
single_score,10823,0.24013674581908898,0.1306161423258619,0.5776994163424124,0.0,2
composite_step_route,10823,0.9987064584680773,0.9979608550320911,0.0,0.005386687187379761,4
