task,failure_combo,steps,expected_priority_route,recovery_policy,monitor_trigger_rate,risk_event_rate,visual_reestimate_trigger_rate,recovery_override_rate,mean_perception_error_norm,mean_action_deviation
GauzeRetrieve,depth_scale_error+near_target_drift,173,depth_reestimate_or_cautious_approach,review_reestimate,0.057803468208092484,0.028901734104046242,0.028901734104046242,0.057803468208092484,0.012489017585798515,0.015156197227892366
GauzeRetrieve,perception_bias+depth_scale_error,173,depth_reestimate_or_cautious_approach,review_reestimate,0.028901734104046242,0.0,0.028901734104046242,0.0,0.012961286353191957,0.0
GauzeRetrieve,perception_bias+depth_scale_error+near_target_drift,173,depth_reestimate_or_cautious_approach,review_reestimate,0.057803468208092484,0.028901734104046242,0.028901734104046242,0.057803468208092484,0.012961286353191957,0.015156197227892366
GauzeRetrieve,perception_bias+near_target_drift,173,reobserve_reestimate,review_reestimate,0.057803468208092484,0.028901734104046242,0.028901734104046242,0.057803468208092484,0.0004514595188385318,0.015156197227892366
NeedlePick,depth_scale_error+near_target_drift,198,depth_reestimate_or_cautious_approach,review_reestimate,0.050505050505050504,0.025252525252525252,0.025252525252525252,0.0707070707070707,0.01091212142597547,0.01324253596174434
NeedlePick,perception_bias+depth_scale_error,201,depth_reestimate_or_cautious_approach,review_reestimate,0.024875621890547265,0.0,0.024875621890547265,0.0,0.011155734025384122,0.0
NeedlePick,perception_bias+depth_scale_error+near_target_drift,198,depth_reestimate_or_cautious_approach,review_reestimate,0.050505050505050504,0.025252525252525252,0.025252525252525252,0.0707070707070707,0.011324760298496004,0.01324253596174434
NeedlePick,perception_bias+near_target_drift,198,reobserve_reestimate,review_reestimate,0.050505050505050504,0.025252525252525252,0.025252525252525252,0.0707070707070707,0.00039445705433871714,0.01324253596174434
