feature,weight,abs_weight
max_triage_risk,0.03253775607248929,0.03253775607248929
final_distance,0.40497961231287777,0.40497961231287777
steps,0.6286581216575987,0.6286581216575987
monitor_triggers,0.28689016629476494,0.28689016629476494
recovery_phase_replans,0.4129759912946822,0.4129759912946822
recovery_override_rate,0.08524800781006293,0.08524800781006293
unsafe_warning_events,-0.13161534438873299,0.13161534438873299
min_danger_distance,0.11439568775546959,0.11439568775546959
first_action_anomaly_missing,0.9513526179962337,0.9513526179962337
first_grasp_uncertain_missing,-1.173293660212195,1.173293660212195
first_perception_uncertain_missing,-1.2931686232106052,1.2931686232106052
first_review_missing,-0.7372304522419563,0.7372304522419563
