mechanism_label,episodes,expected_route,observed_success_rate,mean_final_distance,mean_visual_evidence,mean_depth_evidence,mean_policy_embedding_evidence,mean_action_outcome_evidence,mean_local_neighborhood_evidence,mean_progress_regularity_evidence,mean_handoff_evidence,mean_boundary_evidence,mean_composite_risk_score,top_evidence_families
depth_scale_error,30,depth_reestimate_or_cautious_approach,0.3333333333333333,0.1688211980153381,0.5176829713792956,0.6623780799655069,0.43795909080896234,0.019643219832735963,0.607376509013253,0.6279898786959064,0.12559797573918127,0.0,0.3674632379899773,depth_evidence;progress_regularity_evidence;local_neighborhood_evidence
handoff_servo_failure,60,human_review_or_servo_reset,0.6666666666666666,0.09157946501272782,0.3541303197368975,0.24789122381582823,0.4454027312433128,0.10146981595625877,0.5867347618193128,0.5467779873255212,0.47672421608372295,0.0,0.3214059609050188,local_neighborhood_evidence;progress_regularity_evidence;handoff_evidence
nominal,100,continue,1.0,0.01670401468905587,0.004981161857156579,0.0034868133000096053,0.022839952649366863,0.0633972601783363,0.11559165185677961,0.3472389184403206,0.06944778368806412,0.013801595153869832,0.07324252702333572,progress_regularity_evidence;local_neighborhood_evidence;composite_risk_score
policy_approach_drift,148,low_gain_correction_or_replan,0.668918918918919,0.08210693683517248,0.007871427924582758,0.00550999954720793,0.03846767401390612,0.3411552346378984,0.36208715799474606,0.4761777366259767,0.1003031148927629,0.026570313191781957,0.14877650383837543,progress_regularity_evidence;local_neighborhood_evidence;action_outcome_evidence
unsafe_near_target_continuation,2,abort_candidate_or_takeover,0.0,0.07637766020103115,0.005721779113359073,0.004005245379351351,0.012407263878837848,0.06674448217317487,0.2752985864437046,0.23031651501428557,0.04606330300285712,0.49304219958027673,0.09203260823095454,boundary_evidence;local_neighborhood_evidence;progress_regularity_evidence
visual_estimation_bias,30,reobserve_reestimate,0.3333333333333333,0.1689274471882463,0.526267146064067,0.3683870022448469,0.45374918581765095,0.021182048984468342,0.6152987026197213,0.6280803657029862,0.2849854425099666,0.0,0.35282764640091957,progress_regularity_evidence;local_neighborhood_evidence;visual_evidence
