mechanism,evidence,budget,selected_steps,capture_rate,precision_at_budget
visual_estimation_bias,action_outcome_mismatch_evidence,0.1,360,0.06762589928057554,0.6527777777777778
visual_estimation_bias,action_outcome_mismatch_evidence,0.2,720,0.1712230215827338,0.8263888888888888
visual_estimation_bias,progress_regularity_evidence,0.05,180,0.051798561151079135,1.0
visual_estimation_bias,progress_regularity_evidence,0.1,360,0.10359712230215827,1.0
visual_estimation_bias,progress_regularity_evidence,0.2,720,0.20719424460431654,1.0
visual_estimation_bias,local_neighborhood_proxy_evidence,0.05,180,0.051798561151079135,1.0
visual_estimation_bias,local_neighborhood_proxy_evidence,0.1,360,0.10359712230215827,1.0
visual_estimation_bias,local_neighborhood_proxy_evidence,0.2,720,0.20719424460431654,1.0
visual_estimation_bias,composite_step_score,0.05,180,0.051798561151079135,1.0
visual_estimation_bias,composite_step_score,0.1,360,0.10359712230215827,1.0
visual_estimation_bias,composite_step_score,0.2,720,0.20719424460431654,1.0
all,visual_state_evidence,0.05,542,0.06590466926070039,1.0
all,visual_state_evidence,0.1,1083,0.13168774319066148,1.0
all,visual_state_evidence,0.2,2165,0.26325389105058367,1.0
all,depth_scale_evidence,0.05,542,0.06590466926070039,1.0
all,depth_scale_evidence,0.1,1083,0.13168774319066148,1.0
all,depth_scale_evidence,0.2,2165,0.26325389105058367,1.0
all,policy_embedding_proxy_evidence,0.05,542,0.06590466926070039,1.0
all,policy_embedding_proxy_evidence,0.1,1083,0.13168774319066148,1.0
all,policy_embedding_proxy_evidence,0.2,2165,0.26325389105058367,1.0
all,action_outcome_mismatch_evidence,0.05,542,0.06590466926070039,1.0
all,action_outcome_mismatch_evidence,0.1,1083,0.13168774319066148,1.0
all,action_outcome_mismatch_evidence,0.2,2165,0.17290856031128404,0.6568129330254041
all,progress_regularity_evidence,0.05,542,0.02237354085603113,0.33948339483394835
all,progress_regularity_evidence,0.1,1083,0.05678501945525292,0.4312096029547553
all,progress_regularity_evidence,0.2,2165,0.1866488326848249,0.7090069284064665
all,local_neighborhood_proxy_evidence,0.05,542,0.06590466926070039,1.0
all,local_neighborhood_proxy_evidence,0.1,1083,0.13168774319066148,1.0
all,local_neighborhood_proxy_evidence,0.2,2165,0.26325389105058367,1.0
all,composite_step_score,0.05,542,0.06590466926070039,1.0
all,composite_step_score,0.1,1083,0.13168774319066148,1.0
all,composite_step_score,0.2,2165,0.26325389105058367,1.0
