experiment_suite,task,failure,recovery_policy,controller,source_csv,experiment_notes,episodes,seeds,success_mean,success_std,final_distance_mean,final_distance_std,triggers_mean,phase_replans_mean,override_rate_mean,steps_mean,steps_std
silent_jaw_stuck_observable_proxy,NeedlePick,none,observable_phase_replan,clean,runs/surrol_needlepick_observable_phase_jaw_stuck_w32_5seed.csv,"NeedlePick hard execution fault, observable proxy recovery, 5 seed",5,5,1.0,0.0,0.01960339572371838,0.0025792375110385204,0.0,0.0,0.0,40.0,3.3911649915626345
silent_jaw_stuck_observable_proxy,NeedlePick,none,observable_phase_replan,monitor_corrected,runs/surrol_needlepick_observable_phase_jaw_stuck_w32_5seed.csv,"NeedlePick hard execution fault, observable proxy recovery, 5 seed",5,5,1.0,0.0,0.019603513161351623,0.0025793210691772623,1.0,0.0,0.7991282540063028,40.0,3.3911649915626345
silent_jaw_stuck_observable_proxy_10seed,GauzeRetrieve,jaw_stuck_open,observable_phase_replan,clean,runs/surrol_gauzeretrieve_observable_phase_jaw_stuck_w32_10seed.csv,"GauzeRetrieve hard execution fault, observable proxy recovery, 10 seed",10,10,1.0,0.0,0.01343583591548558,0.002500374396038485,0.0,0.0,0.0,34.6,0.6992058987801001
silent_jaw_stuck_observable_proxy_10seed,GauzeRetrieve,jaw_stuck_open,observable_phase_replan,monitor_corrected,runs/surrol_gauzeretrieve_observable_phase_jaw_stuck_w32_10seed.csv,"GauzeRetrieve hard execution fault, observable proxy recovery, 10 seed",10,10,1.0,0.0,0.01415772823412951,0.002593255208293243,3.0,2.0,0.9410599883517762,101.8,0.42163702135578285
silent_jaw_stuck_observable_proxy_10seed,GauzeRetrieve,jaw_stuck_open,observable_phase_replan,perturbed,runs/surrol_gauzeretrieve_observable_phase_jaw_stuck_w32_10seed.csv,"GauzeRetrieve hard execution fault, observable proxy recovery, 10 seed",10,10,0.0,0.0,0.2742171009321278,0.032570848754215544,0.0,0.0,0.0,220.0,0.0
silent_jaw_stuck_observable_proxy_10seed,GauzeRetrieve,none,observable_phase_replan,clean,runs/surrol_gauzeretrieve_observable_phase_jaw_stuck_w32_10seed.csv,"GauzeRetrieve hard execution fault, observable proxy recovery, 10 seed",10,10,1.0,0.0,0.01343583591548558,0.002500374396038485,0.0,0.0,0.0,34.6,0.6992058987801001
silent_jaw_stuck_observable_proxy_10seed,GauzeRetrieve,none,observable_phase_replan,monitor_corrected,runs/surrol_gauzeretrieve_observable_phase_jaw_stuck_w32_10seed.csv,"GauzeRetrieve hard execution fault, observable proxy recovery, 10 seed",10,10,1.0,0.0,0.013439772129727351,0.002453495059215505,1.0,0.0,0.826524064171123,34.6,0.6992058987801001
silent_jaw_stuck_observable_proxy_10seed,NeedlePick,jaw_stuck_open,observable_phase_replan,clean,runs/surrol_needlepick_observable_phase_jaw_stuck_w32_10seed.csv,"NeedlePick hard execution fault, observable proxy recovery, 10 seed",10,10,1.0,0.0,0.02020484421171876,0.003101977635422719,0.0,0.0,0.0,40.8,3.6147844564602556
silent_jaw_stuck_observable_proxy_10seed,NeedlePick,jaw_stuck_open,observable_phase_replan,monitor_corrected,runs/surrol_needlepick_observable_phase_jaw_stuck_w32_10seed.csv,"NeedlePick hard execution fault, observable proxy recovery, 10 seed",10,10,1.0,0.0,0.02022077072390433,0.003104450344030368,3.0,1.7,0.9350909419488902,102.6,2.3190036174568114
silent_jaw_stuck_observable_proxy_10seed,NeedlePick,jaw_stuck_open,observable_phase_replan,perturbed,runs/surrol_needlepick_observable_phase_jaw_stuck_w32_10seed.csv,"NeedlePick hard execution fault, observable proxy recovery, 10 seed",10,10,0.0,0.0,0.207240510059001,0.03852729161359791,0.0,0.0,0.0,220.0,0.0
