risk_level,episodes,success_mean,unsafe_abort_rate,final_distance_mean,max_abort_evidence,max_review_evidence,max_recovery_evidence
abort_candidate,16,0.3125,0.4375,0.06880769716200866,1.0,0.3279490122101789,1.0
auto_execute,86,1.0,0.0,0.017893415432294234,0.6811812692679103,0.26241340997442153,0.0
auto_recovery,60,0.6,0.0,0.0857921247620775,0.69861590429645,0.4031756806481965,1.0
human_review,36,0.2777777777777778,0.0,0.1706930316057974,0.0,1.0,0.55
