failure,episodes,steps_mean,final_distance_mean,distance_reduction_mean,progress_fraction_mean,stall_or_slow_progress_mean,monitor_triggers_mean,recovery_phase_replans_mean,recovery_override_rate_mean,unsafe_warning_events_mean,unsafe_abort_mean
none,100,35.92,0.01670401468905587,0.01987469768656759,0.09072374570701115,0.9092762542929888,0.31,0.0,0.24433005089168147,0.32,0.0
jaw_stuck_open,60,119.96666666666667,0.0915794650127278,0.0,0.0,1.0,1.0,0.6166666666666667,0.3126918217167777,0.0,0.0
near_target_drift,45,82.06666666666666,0.04312155545998314,0.05227029018255716,0.23404243591034637,0.7659575640896535,0.37777777777777777,0.0,0.019704877287247836,3.8666666666666667,0.044444444444444446
action_dropout,30,97.4,0.08630192822023522,0.0,0.0,1.0,0.6333333333333333,0.13333333333333333,0.3004137722396162,0.0,0.0
action_noise,30,91.53333333333333,0.0928478832962069,0.0,0.0,1.0,0.6333333333333333,0.0,0.31861803824184126,0.0,0.0
depth_scale_error,30,132.43333333333334,0.1688211980153381,0.0,0.0,1.0,0.26666666666666666,0.0,0.02351851851851852,0.0,0.0
execution_slip,30,94.73333333333333,0.09166388654269136,0.0,0.0,1.0,0.5666666666666667,0.06666666666666667,0.30918512366186784,0.0,0.0
perception_bias,30,132.43333333333334,0.16892744718824623,0.0,0.0,1.0,0.26666666666666666,0.0,0.023148148148148147,0.0,0.0
action_freeze,15,53.46666666666667,0.14931340230228948,0.0,0.0,1.0,0.6666666666666666,0.0,0.30165079365079367,0.0,0.0
