suite,task,failure,controller,route,route_reason,episodes,seeds,success_mean,final_distance_mean,max_triage_risk_mean,first_review_step_mean,first_abort_step_mean,monitor_triggers_mean,recovery_phase_replans_mean,recovery_override_rate_mean
third_task_reach_freeze,NeedleReach,action_freeze,perturbed,auto_recovery,reversible_action_or_execution_anomaly,5,5,0.0,0.416570690441718,3.25,30.0,,0.0,0.0,0.0
third_task_reach_freeze,NeedleReach,none,clean,auto_execute,clean_reference_no_action_anomaly,5,5,1.0,0.015684752386627303,1.5,,,0.0,0.0,0.0
third_task_reach_freeze,NeedleReach,none,monitor_corrected,auto_execute,nominal_no_alarm,5,5,1.0,0.0156847437915064,1.5,,,0.0,0.0,0.0
visual_state_drift_5seed,GauzeRetrieve,depth_scale_error,clean,auto_execute,clean_reference_no_action_anomaly,5,5,1.0,0.01256477131133138,3.0375,,,0.0,0.0,0.0
visual_state_drift_5seed,GauzeRetrieve,depth_scale_error,monitor_corrected,human_review,visual_state_uncertain,5,5,0.0,0.2645450167650504,3.25,30.0,,0.0,0.0,0.0
visual_state_drift_5seed,GauzeRetrieve,depth_scale_error,perturbed,human_review,visual_state_uncertain,5,5,0.0,0.2645450167650504,3.25,30.0,,0.0,0.0,0.0
visual_state_drift_5seed,GauzeRetrieve,near_target_drift,clean,auto_execute,clean_reference_no_action_anomaly,5,5,1.0,0.01256477131133138,3.0375,,,0.0,0.0,0.0
visual_state_drift_5seed,GauzeRetrieve,near_target_drift,monitor_corrected,auto_recovery,reversible_action_or_execution_anomaly,5,5,1.0,0.011356316250404019,3.0,,,1.0,0.0,0.057835497835497796
visual_state_drift_5seed,GauzeRetrieve,near_target_drift,perturbed,auto_recovery,reversible_action_or_execution_anomaly,5,5,0.0,0.04554713630979006,3.0,,,0.0,0.0,0.0
visual_state_drift_5seed,GauzeRetrieve,none,clean,auto_execute,clean_reference_no_action_anomaly,5,5,1.0,0.01256477131133138,3.0375,,,0.0,0.0,0.0
visual_state_drift_5seed,GauzeRetrieve,none,monitor_corrected,auto_execute,nominal_no_alarm,5,5,1.0,0.01251812428274934,3.0,,,0.0,0.0,0.0
visual_state_drift_5seed,GauzeRetrieve,perception_bias,clean,auto_execute,clean_reference_no_action_anomaly,5,5,1.0,0.01256477131133138,3.0375,,,0.0,0.0,0.0
visual_state_drift_5seed,GauzeRetrieve,perception_bias,monitor_corrected,human_review,visual_state_uncertain,5,5,0.0,0.26451362332775097,4.75,30.0,33.8,0.0,0.0,0.0
visual_state_drift_5seed,GauzeRetrieve,perception_bias,perturbed,human_review,visual_state_uncertain,5,5,0.0,0.26451362332775097,4.75,30.0,33.8,0.0,0.0,0.0
