threshold,risk_coverage,missed_risk_rate,intervention_rate,unnecessary_intervention_rate,activation_reduction_vs_always_gate,covered_risk_steps,missed_risk_steps,unnecessary_intervention_steps,total_steps
0.3,0.8949618320610687,0.1050381679389313,0.8448227349465391,0.25627240143369173,0.15517726505346086,5862,688,143,7108
0.4,0.8700763358778626,0.1299236641221374,0.8133089476646033,0.14695340501792115,0.18669105233539673,5699,851,82,7108
0.5,0.8532824427480916,0.1467175572519084,0.7893922341024198,0.03942652329749104,0.21060776589758023,5589,961,22,7108
0.6,0.8352671755725191,0.1647328244274809,0.7698368036015757,0.0017921146953405018,0.2301631963984243,5471,1079,1,7108
0.7,0.7993893129770993,0.20061068702290077,0.7367754642656162,0.0017921146953405018,0.26322453573438376,5236,1314,1,7108
