step,phase,tool_x,tool_y,tool_z,target_x,target_y,observed_target_x,observed_target_y,distance_to_goal,force_proxy,remaining_budget,risk_score,risk_gate_active,risk_reasons,route,success,budget_exhausted
0,fault,-0.695095419883728,-0.5429285764694214,0.0,0.699999988079071,0.5799999833106995,0.6399999856948853,-0.6299999952316284,1.7908823490142822,0.0,1.65,0.09486105904434665,0.0,progress_stalled,auto_execute_on_biased_state,0.0,0.0
1,fault,-0.6501908302307129,-0.5458571314811707,0.0,0.699999988079071,0.5799999833106995,0.6399999856948853,-0.6299999952316284,1.758001685142517,0.0,1.65,0.09416897653810903,0.0,progress_stalled,auto_execute_on_biased_state,0.0,0.0
2,fault,-0.6052862405776978,-0.5487856864929199,0.0,0.699999988079071,0.5799999833106995,0.6399999856948853,-0.6299999952316284,1.7256677150726318,0.0,1.65,0.09336662977392021,0.0,progress_stalled,auto_execute_on_biased_state,0.0,0.0
3,fault,-0.5603816509246826,-0.5517142415046692,0.0,0.699999988079071,0.5799999833106995,0.6399999856948853,-0.6299999952316284,1.693912386894226,0.0,1.65,0.09243772031321668,0.0,progress_stalled,auto_execute_on_biased_state,0.0,0.0
4,fault,-0.5154770612716675,-0.5546427965164185,0.0,0.699999988079071,0.5799999833106995,0.6399999856948853,-0.6299999952316284,1.6627683639526367,0.0,1.65,0.09136476629430595,0.0,progress_stalled,auto_execute_on_biased_state,0.0,0.0
5,fault,-0.47057244181632996,-0.5575713515281677,0.0,0.699999988079071,0.5799999833106995,0.6399999856948853,-0.6299999952316284,1.6322709321975708,0.0,1.65,0.029503398375077657,0.0,low_risk,auto_execute_on_biased_state,0.0,0.0
6,fault,-0.42566782236099243,-0.560499906539917,0.0,0.699999988079071,0.5799999833106995,0.6399999856948853,-0.6299999952316284,1.60245680809021,0.0,1.65,0.027959188873117595,0.0,low_risk,auto_execute_on_biased_state,0.0,0.0
7,fault,-0.3807632327079773,-0.5634284615516663,0.0,0.699999988079071,0.5799999833106995,0.6399999856948853,-0.6299999952316284,1.5733650922775269,0.0,1.65,0.02621277278119865,0.0,low_risk,auto_execute_on_biased_state,0.0,0.0
8,fault,-0.33585861325263977,-0.5663570165634155,0.0,0.699999988079071,0.5799999833106995,0.6399999856948853,-0.6299999952316284,1.5450364351272583,0.0,1.65,0.024247763156890846,0.0,low_risk,auto_execute_on_biased_state,0.0,0.0
9,fault,-0.29095399379730225,-0.5692855715751648,0.0,0.699999988079071,0.5799999833106995,0.6399999856948853,-0.6299999952316284,1.5175135135650635,0.0,1.65,0.02205222173170607,0.0,low_risk,auto_execute_on_biased_state,0.0,0.0
10,fault,-0.24604938924312592,-0.5722141265869141,0.0,0.699999988079071,0.5799999833106995,0.6399999856948853,-0.6299999952316284,1.4908409118652344,0.0,1.65,0.019622239705288022,0.0,low_risk,auto_execute_on_biased_state,0.0,0.0
11,fault,-0.20114478468894958,-0.5751426815986633,0.0,0.699999988079071,0.5799999833106995,0.6399999856948853,-0.6299999952316284,1.465065360069275,0.0,1.65,0.01696531299388767,0.0,low_risk,auto_execute_on_biased_state,0.0,0.0
12,fault,-0.15624018013477325,-0.5780712366104126,0.0,0.699999988079071,0.5799999833106995,0.6399999856948853,-0.6299999952316284,1.4402347803115845,0.0,1.65,0.014102750258012223,0.0,low_risk,auto_execute_on_biased_state,0.0,0.0
13,fault,-0.11133557558059692,-0.5809997916221619,0.0,0.699999988079071,0.5799999833106995,0.6399999856948853,-0.6299999952316284,1.4163990020751953,0.0,1.65,0.011071705059571672,0.0,low_risk,auto_execute_on_biased_state,0.0,0.0
14,fault,-0.0664309710264206,-0.5839283466339111,0.0,0.699999988079071,0.5799999833106995,0.6399999856948853,-0.6299999952316284,1.393608808517456,0.0,1.65,0.007924083110057918,0.0,low_risk,auto_execute_on_biased_state,0.0,0.0
15,fault,-0.021526366472244263,-0.5868569016456604,0.0,0.699999988079071,0.5799999833106995,0.6399999856948853,-0.6299999952316284,1.371916651725769,0.0,1.65,0.005454545454545455,0.0,low_risk,auto_execute_on_biased_state,0.0,0.0
16,fault,0.023378238081932068,-0.5897854566574097,0.0,0.699999988079071,0.5799999833106995,0.6399999856948853,-0.6299999952316284,1.3513752222061157,0.0,1.65,0.005454545454545455,0.0,low_risk,auto_execute_on_biased_state,0.0,0.0
17,fault,0.0682828426361084,-0.5927140116691589,0.0,0.699999988079071,0.5799999833106995,0.6399999856948853,-0.6299999952316284,1.3320378065109253,0.0,1.65,0.005454545454545455,0.0,low_risk,auto_execute_on_biased_state,0.0,0.0
18,fault,0.11318744719028473,-0.5956425666809082,0.0,0.699999988079071,0.5799999833106995,0.6399999856948853,-0.6299999952316284,1.3139574527740479,0.0,1.65,0.005454545454545455,0.0,low_risk,auto_execute_on_biased_state,0.0,0.0
