task,seed,step,phase,route,monitor_trigger,success,distance,progress,initial_distance,min_distance,final_distance_so_far,reward,action_norm,oracle_action_norm
NeedlePick,43123,29,monitor_recovery,monitor_recovery_oracle_override,0.0,0.0,0.18634458960209252,0.0,0.18641941354154043,0.18634452562036755,0.18634458960209252,-1.0,0.7394384145736694,0.7394384145736694
NeedlePick,43123,30,monitor_recovery,monitor_recovery_oracle_override,0.0,0.0,0.18634458960209252,0.0,0.18641941354154043,0.18634452562036755,0.18634458960209252,-1.0,0.6857098340988159,0.6857098340988159
NeedlePick,43123,31,monitor_recovery,monitor_recovery_oracle_override,0.0,0.0,0.18634458960209252,0.0,0.18641941354154043,0.18634452562036755,0.18634458960209252,-1.0,0.5744763016700745,0.5744763016700745
NeedlePick,43123,32,monitor_recovery,monitor_recovery_oracle_override,0.0,0.0,0.18634458960209252,0.0,0.18641941354154043,0.18634452562036755,0.18634458960209252,-1.0,0.5282810926437378,0.5282810926437378
NeedlePick,43123,33,monitor_recovery,monitor_recovery_oracle_override,0.0,0.0,0.18634458960209252,0.0,0.18641941354154043,0.18634452562036755,0.18634458960209252,-1.0,0.5104588270187378,0.5104588270187378
NeedlePick,43123,34,monitor_recovery,monitor_recovery_oracle_override,0.0,0.0,0.18634458960209252,0.0,0.18641941354154043,0.18634452562036755,0.18634458960209252,-1.0,0.5038260221481323,0.5038260221481323
NeedlePick,43123,35,monitor_recovery,monitor_recovery_oracle_override,0.0,0.0,0.18634458960209252,0.0,0.18641941354154043,0.18634452562036755,0.18634458960209252,-1.0,0.5013938546180725,0.5013938546180725
NeedlePick,43123,36,monitor_recovery,monitor_recovery_oracle_override,0.0,0.0,0.18634458960209252,0.0,0.18641941354154043,0.18634452562036755,0.18634458960209252,-1.0,0.5005070567131042,0.5005070567131042
NeedlePick,43123,37,monitor_recovery,monitor_recovery_oracle_override,0.0,0.0,0.18634458960209252,0.0,0.18641941354154043,0.18634452562036755,0.18634458960209252,-1.0,0.5001843571662903,0.5001843571662903
NeedlePick,43123,38,monitor_recovery,monitor_recovery_oracle_override,0.0,0.0,0.18634458960209252,0.0,0.18641941354154043,0.18634452562036755,0.18634458960209252,-1.0,0.5000669956207275,0.5000669956207275
NeedlePick,43123,39,monitor_recovery,monitor_recovery_oracle_override,0.0,0.0,0.18634458960209252,0.0,0.18641941354154043,0.18634452562036755,0.18634458960209252,-1.0,0.5000243782997131,0.5000243782997131
NeedlePick,43123,40,monitor_recovery,monitor_recovery_oracle_override,0.0,0.0,0.18634458960209252,0.0,0.18641941354154043,0.18634452562036755,0.18634458960209252,-1.0,0.5000088214874268,0.5000088214874268
NeedlePick,43123,41,monitor_recovery,monitor_recovery_oracle_override,0.0,0.0,0.18634458960209252,0.0,0.18641941354154043,0.18634452562036755,0.18634458960209252,-1.0,0.538680911064148,0.538680911064148
NeedlePick,43123,42,monitor_recovery,monitor_recovery_oracle_override,0.0,0.0,0.18634458960209252,0.0,0.18641941354154043,0.18634452562036755,0.18634458960209252,-1.0,0.5143932700157166,0.5143932700157166
NeedlePick,43123,43,monitor_recovery,monitor_recovery_oracle_override,0.0,0.0,0.18634458960209252,0.0,0.18641941354154043,0.18634452562036755,0.18634458960209252,-1.0,0.5052780508995056,0.5052780508995056
NeedlePick,43123,44,monitor_recovery,monitor_recovery_oracle_override,0.0,0.0,0.18634458960209252,0.0,0.18641941354154043,0.18634452562036755,0.18634458960209252,-1.0,0.5019243955612183,0.5019243955612183
NeedlePick,43123,45,monitor_recovery,monitor_recovery_oracle_override,0.0,0.0,0.18634458960209252,0.0,0.18641941354154043,0.18634452562036755,0.18634458960209252,-1.0,0.5007001757621765,0.5007001757621765
NeedlePick,43123,46,monitor_recovery,monitor_recovery_oracle_override,0.0,0.0,0.18634458960209252,0.0,0.18641941354154043,0.18634452562036755,0.18634458960209252,-1.0,0.5002545118331909,0.5002545118331909
NeedlePick,43123,47,monitor_recovery,monitor_recovery_oracle_override,0.0,0.0,0.18634458960209252,0.0,0.18641941354154043,0.18634452562036755,0.18634458960209252,-1.0,0.5000925064086914,0.5000925064086914
NeedlePick,43123,48,monitor_recovery,monitor_recovery_oracle_override,0.0,0.0,0.18634458960209252,0.0,0.18641941354154043,0.18634452562036755,0.18634458960209252,-1.0,0.5000336170196533,0.5000336170196533
NeedlePick,43123,49,monitor_recovery,monitor_recovery_oracle_override,0.0,0.0,0.18634458960209252,0.0,0.18641941354154043,0.18634452562036755,0.18634458960209252,-1.0,0.500012218952179,0.500012218952179
NeedlePick,43123,50,monitor_recovery,monitor_recovery_oracle_override,0.0,0.0,0.18662322311163715,-0.00027863350954462907,0.18641941354154043,0.18634452562036755,0.18662322311163715,-1.0,0.5000044107437134,0.5000044107437134
NeedlePick,43123,51,monitor_recovery,monitor_recovery_oracle_override,0.0,0.0,0.16404644912777036,0.022576773983866788,0.18641941354154043,0.16404644912777036,0.16404644912777036,-1.0,0.693601131439209,0.693601131439209
NeedlePick,43123,52,monitor_recovery,monitor_recovery_oracle_override,0.0,0.0,0.14041194886099712,0.023634500266773245,0.18641941354154043,0.14041194886099712,0.14041194886099712,-1.0,0.6935731768608093,0.6935731768608093
NeedlePick,43123,53,monitor_recovery,monitor_recovery_oracle_override,0.0,0.0,0.11661920342863048,0.023792745432366633,0.18641941354154043,0.11661920342863048,0.11661920342863048,-1.0,0.6935732960700989,0.6935732960700989
NeedlePick,43123,54,monitor_recovery,monitor_recovery_oracle_override,0.0,0.0,0.09283861189032246,0.023780591538308027,0.18641941354154043,0.09283861189032246,0.09283861189032246,-1.0,0.6935768723487854,0.6935768723487854
NeedlePick,43123,55,monitor_recovery,monitor_recovery_oracle_override,0.0,0.0,0.06908400505917398,0.02375460683114848,0.18641941354154043,0.06908400505917398,0.06908400505917398,-1.0,0.6935865879058838,0.6935865879058838
NeedlePick,43123,56,monitor_recovery,monitor_recovery_oracle_override,0.0,0.0,0.04541647280653826,0.023667532252635716,0.18641941354154043,0.04541647280653826,0.04541647280653826,-1.0,0.6935981512069702,0.6935981512069702
NeedlePick,43123,57,monitor_recovery,monitor_recovery_oracle_override,0.0,0.0,0.027438043387389997,0.017978429419148262,0.18641941354154043,0.027438043387389997,0.027438043387389997,-1.0,0.6207903623580933,0.6207903623580933
NeedlePick,43123,58,recovery_complete,success_after_monitor_recovery,0.0,1.0,0.01686934768266127,0.010568695704728726,0.18641941354154043,0.01686934768266127,0.01686934768266127,0.0,0.5469837188720703,0.5469837188720703
