task,controller,success,triggers,phase_replans,steps,final_distance
GauzeRetrieve,clean,1.0,0.0,0.0,34.6,0.01343583591548558
GauzeRetrieve,monitor_corrected,1.0,3.0,2.0,101.8,0.01415772823412951
GauzeRetrieve,perturbed,0.0,0.0,0.0,220.0,0.2742171009321278
NeedlePick,clean,1.0,0.0,0.0,40.8,0.02020484421171876
NeedlePick,monitor_corrected,1.0,3.0,1.7,102.6,0.02022077072390433
NeedlePick,perturbed,0.0,0.0,0.0,220.0,0.207240510059001
